STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
AL|01|15640|02404082|Clio city|INCORPORATED PLACE|C1|A|Barbour County
AL|01|16000|02406286|Coaling town|INCORPORATED PLACE|C1|A|Tuscaloosa County
AL|01|16080|02582669|Coats Bend CDP|CENSUS DESIGNATED PLACE|U1|S|Etowah County
AL|01|16240|02406288|Coffee Springs town|INCORPORATED PLACE|C1|A|Geneva County
AL|01|16264|02406289|Coffeeville town|INCORPORATED PLACE|C1|A|Clarke County
AL|01|16312|02406291|Coker town|INCORPORATED PLACE|C1|A|Tuscaloosa County
AL|01|16600|02406296|Collinsville town|INCORPORATED PLACE|C1|A|Cherokee County~~~DeKalb County
AL|01|16684|02406297|Colony town|INCORPORATED PLACE|C1|A|Cullman County
AL|01|16744|02406298|Columbia town|INCORPORATED PLACE|C1|A|Houston County
AL|01|16768|02404109|Columbiana city|INCORPORATED PLACE|C1|A|Shelby County
AL|01|16936|02402792|Concord CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
AL|01|17176|02406310|Coosada town|INCORPORATED PLACE|C1|A|Elmore County
AL|01|17368|02404130|Cordova city|INCORPORATED PLACE|C1|A|Walker County
AL|01|17704|02727439|Cottondale CDP|CENSUS DESIGNATED PLACE|U1|S|Tuscaloosa County
AL|01|17824|02406321|Cottonwood town|INCORPORATED PLACE|C1|A|Houston County
AL|01|17968|02406322|County Line town|INCORPORATED PLACE|C1|A|Blount County~~~Jefferson County
AL|01|18040|02406323|Courtland town|INCORPORATED PLACE|C1|A|Lawrence County
AL|01|18088|02406329|Cowarts town|INCORPORATED PLACE|C1|A|Houston County
AL|01|18304|02404149|Creola city|INCORPORATED PLACE|C1|A|Mobile County
AL|01|18856|02406341|Crossville town|INCORPORATED PLACE|C1|A|DeKalb County
AL|01|18952|02406344|Cuba town|INCORPORATED PLACE|C1|A|Sumter County
AL|01|18976|02404166|Cullman city|INCORPORATED PLACE|C1|A|Cullman County
AL|01|19024|02628586|Cullomburg CDP|CENSUS DESIGNATED PLACE|U1|S|Choctaw County~~~Washington County
AL|01|19216|02424934|Cusseta town|INCORPORATED PLACE|C1|A|Chambers County
AL|01|19336|02404175|Dadeville city|INCORPORATED PLACE|C1|A|Tallapoosa County
AL|01|19360|02404178|Daleville city|INCORPORATED PLACE|C1|A|Dale County
AL|01|19648|02404186|Daphne city|INCORPORATED PLACE|C1|A|Baldwin County
AL|01|19744|02406357|Dauphin Island town|INCORPORATED PLACE|C1|A|Mobile County
AL|01|19816|02406360|Daviston town|INCORPORATED PLACE|C1|A|Tallapoosa County
AL|01|19912|02406361|Dayton town|INCORPORATED PLACE|C1|A|Marengo County
AL|01|20008|02406364|Deatsville town|INCORPORATED PLACE|C1|A|Elmore County
AL|01|20104|02404206|Decatur city|INCORPORATED PLACE|C1|A|Limestone County~~~Morgan County
AL|01|20152|02628587|Deer Park CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
AL|01|20272|02582670|Delta CDP|CENSUS DESIGNATED PLACE|U1|S|Clay County
AL|01|20296|02404214|Demopolis city|INCORPORATED PLACE|C1|A|Marengo County
AL|01|20392|02406377|Detroit town|INCORPORATED PLACE|C1|A|Lamar County
AL|01|20955|02406384|Dodge City town|INCORPORATED PLACE|C1|A|Cullman County
AL|01|21136|02404235|Dora city|INCORPORATED PLACE|C1|A|Walker County
AL|01|21184|02404238|Dothan city|INCORPORATED PLACE|C1|A|Dale County~~~Henry County~~~Houston County
AL|01|21280|02406389|Double Springs town|INCORPORATED PLACE|C1|A|Winston County
AL|01|21328|02406390|Douglas town|INCORPORATED PLACE|C1|A|Marshall County
AL|01|21448|02406394|Dozier town|INCORPORATED PLACE|C1|A|Crenshaw County
AL|01|21890|02582671|Dunnavant CDP|CENSUS DESIGNATED PLACE|U2|S|Shelby County
AL|01|21952|02406408|Dutton town|INCORPORATED PLACE|C1|A|Jackson County
AL|01|22088|02805893|Eagle Point CDP|CENSUS DESIGNATED PLACE|U1|S|Shelby County
AL|01|22216|02403531|East Brewton city|INCORPORATED PLACE|C1|A|Escambia County
AL|01|22504|02628588|East Point CDP|CENSUS DESIGNATED PLACE|U1|S|Cullman County
AL|01|22816|02406420|Eclectic town|INCORPORATED PLACE|C1|A|Elmore County
AL|01|23032|02402443|Edgewater CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
AL|01|23176|02406427|Edwardsville town|INCORPORATED PLACE|C1|A|Cleburne County
AL|01|23224|02582672|Egypt CDP|CENSUS DESIGNATED PLACE|U1|S|Etowah County
AL|01|23296|02403549|Elba city|INCORPORATED PLACE|C1|A|Coffee County
AL|01|23320|02406430|Elberta town|INCORPORATED PLACE|C1|A|Baldwin County
AL|01|23344|02406431|Eldridge town|INCORPORATED PLACE|C1|A|Walker County
AL|01|23488|02406437|Elkmont town|INCORPORATED PLACE|C1|A|Limestone County
AL|01|23656|02406444|Elmore town|INCORPORATED PLACE|C1|A|Elmore County
AL|01|23872|02406447|Emelle town|INCORPORATED PLACE|C1|A|Sumter County
AL|01|23880|02582673|Emerald Mountain CDP|CENSUS DESIGNATED PLACE|U1|S|Elmore County
AL|01|24184|02403567|Enterprise city|INCORPORATED PLACE|C1|A|Coffee County~~~Dale County
AL|01|24256|02406456|Epes town|INCORPORATED PLACE|C1|A|Sumter County
AL|01|24280|02805889|Equality CDP|CENSUS DESIGNATED PLACE|U1|S|Coosa County
AL|01|24472|02406465|Ethelsville town|INCORPORATED PLACE|C1|A|Pickens County
AL|01|24568|02403575|Eufaula city|INCORPORATED PLACE|C1|A|Barbour County
AL|01|24616|02633143|Eunola CDP|CENSUS DESIGNATED PLACE|U1|S|Geneva County
AL|01|24664|02406470|Eutaw town|INCORPORATED PLACE|C1|A|Greene County
AL|01|24688|02406472|Eva town|INCORPORATED PLACE|C1|A|Morgan County
AL|01|24808|02403584|Evergreen city|INCORPORATED PLACE|C1|A|Conecuh County
AL|01|24880|02406476|Excel town|INCORPORATED PLACE|C1|A|Monroe County
AL|01|25120|02403587|Fairfield city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|25216|02628589|Fairford CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
AL|01|25240|02403590|Fairhope city|INCORPORATED PLACE|C1|A|Baldwin County
AL|01|25384|02406480|Fairview town|INCORPORATED PLACE|C1|A|Cullman County
AL|01|25648|02406488|Falkville town|INCORPORATED PLACE|C1|A|Morgan County
AL|01|25816|02406495|Faunsdale town|INCORPORATED PLACE|C1|A|Marengo County
AL|01|25840|02403599|Fayette city|INCORPORATED PLACE|C1|A|Fayette County
AL|01|25864|02582674|Fayetteville CDP|CENSUS DESIGNATED PLACE|U1|S|Talladega County
AL|01|26152|02628590|Fitzpatrick CDP|CENSUS DESIGNATED PLACE|U1|S|Bullock County
AL|01|26200|02406498|Five Points town|INCORPORATED PLACE|C1|A|Chambers County
AL|01|26824|02406500|Flomaton town|INCORPORATED PLACE|C1|A|Escambia County
AL|01|26848|02406502|Florala town|INCORPORATED PLACE|C1|A|Covington County
AL|01|26896|02403619|Florence city|INCORPORATED PLACE|C1|A|Lauderdale County
AL|01|26992|02403626|Foley city|INCORPORATED PLACE|C1|A|Baldwin County
AL|01|27088|02402493|Forestdale CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
AL|01|27376|02406506|Forkland town|INCORPORATED PLACE|C1|A|Greene County
AL|01|27520|02406507|Fort Deposit town|INCORPORATED PLACE|C1|A|Lowndes County
AL|01|27616|02403645|Fort Payne city|INCORPORATED PLACE|C1|A|DeKalb County
AL|01|27640|02402503|Fort Rucker CDP|CENSUS DESIGNATED PLACE|M2|S|Dale County
AL|01|28024|02406517|Franklin town|INCORPORATED PLACE|C1|A|Macon County
AL|01|28120|02582675|Fredonia CDP|CENSUS DESIGNATED PLACE|U1|S|Chambers County
AL|01|28312|02406528|Frisco City town|INCORPORATED PLACE|C1|A|Monroe County
AL|01|28408|02628591|Fruitdale CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
AL|01|28432|02406529|Fruithurst town|INCORPORATED PLACE|C1|A|Cleburne County
AL|01|28504|02406530|Fulton town|INCORPORATED PLACE|C1|A|Clarke County
AL|01|28552|02403671|Fultondale city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|28672|02406534|Fyffe town|INCORPORATED PLACE|C1|A|DeKalb County
AL|01|28696|02403673|Gadsden city|INCORPORATED PLACE|C1|A|Etowah County
AL|01|28768|02406537|Gainesville town|INCORPORATED PLACE|C1|A|Sumter County
AL|01|28816|02582676|Gallant CDP|CENSUS DESIGNATED PLACE|U1|S|Etowah County
AL|01|28936|02406539|Gantt town|INCORPORATED PLACE|C1|A|Covington County
AL|01|29032|02406541|Garden City town|INCORPORATED PLACE|C1|A|Blount County~~~Cullman County
AL|01|29056|02403681|Gardendale city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|29296|02406555|Gaylesville town|INCORPORATED PLACE|C1|A|Cherokee County
AL|01|29392|02406556|Geiger town|INCORPORATED PLACE|C1|A|Sumter County
AL|01|29464|02403687|Geneva city|INCORPORATED PLACE|C1|A|Geneva County
AL|01|29560|02406560|Georgiana town|INCORPORATED PLACE|C1|A|Butler County
AL|01|29608|02406561|Geraldine town|INCORPORATED PLACE|C1|A|DeKalb County
AL|01|29704|02406569|Gilbertown town|INCORPORATED PLACE|C1|A|Choctaw County
AL|01|29944|02406574|Glen Allen town|INCORPORATED PLACE|C1|A|Fayette County~~~Marion County
AL|01|29992|02403701|Glencoe city|INCORPORATED PLACE|C1|A|Calhoun County~~~Etowah County
AL|01|30160|02406579|Glenwood town|INCORPORATED PLACE|C1|A|Crenshaw County
AL|01|30448|02406586|Goldville town|INCORPORATED PLACE|C1|A|Tallapoosa County
AL|01|30496|02406587|Good Hope city|INCORPORATED PLACE|C1|A|Cullman County
AL|01|30640|02406589|Goodwater town|INCORPORATED PLACE|C1|A|Coosa County
AL|01|30736|02406590|Gordo town|INCORPORATED PLACE|C1|A|Pickens County
AL|01|30760|02406591|Gordon town|INCORPORATED PLACE|C1|A|Houston County
AL|01|30808|02406593|Gordonville town|INCORPORATED PLACE|C1|A|Lowndes County
AL|01|30880|02406594|Goshen town|INCORPORATED PLACE|C1|A|Pike County
AL|01|31000|02582677|Graham CDP|CENSUS DESIGNATED PLACE|U1|S|Randolph County
AL|01|31024|02402543|Grand Bay CDP|CENSUS DESIGNATED PLACE|U1|S|Mobile County
AL|01|31096|02406603|Grant town|INCORPORATED PLACE|C1|A|Marshall County
AL|01|31348|02402547|Grayson Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
AL|01|31384|02403734|Graysville city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|31720|02403743|Greensboro city|INCORPORATED PLACE|C1|A|Hale County
AL|01|31912|02403748|Greenville city|INCORPORATED PLACE|C1|A|Butler County
AL|01|32056|02406621|Grimes town|INCORPORATED PLACE|C1|A|Dale County
AL|01|32080|02406623|Grove Hill town|INCORPORATED PLACE|C1|A|Clarke County
AL|01|32224|02403768|Guin city|INCORPORATED PLACE|C1|A|Marion County
AL|01|32248|02628592|Gulfcrest CDP|CENSUS DESIGNATED PLACE|U1|S|Mobile County
AL|01|32272|02403770|Gulf Shores city|INCORPORATED PLACE|C1|A|Baldwin County
AL|01|32416|02403774|Guntersville city|INCORPORATED PLACE|C1|A|Marshall County
AL|01|32440|02406631|Gurley town|INCORPORATED PLACE|C1|A|Madison County
AL|01|32536|02406632|Gu-Win town|INCORPORATED PLACE|C1|A|Fayette County~~~Marion County
AL|01|32560|02406635|Hackleburg town|INCORPORATED PLACE|C1|A|Marion County
AL|01|32584|02582678|Hackneyville CDP|CENSUS DESIGNATED PLACE|U1|S|Tallapoosa County
AL|01|32656|02406636|Haleburg town|INCORPORATED PLACE|C1|A|Henry County
AL|01|32704|02403782|Haleyville city|INCORPORATED PLACE|C1|A|Marion County~~~Winston County
AL|01|32848|02403785|Hamilton city|INCORPORATED PLACE|C1|A|Marion County
AL|01|32896|02406640|Hammondville town|INCORPORATED PLACE|C1|A|DeKalb County
AL|01|32968|02403793|Hanceville city|INCORPORATED PLACE|C1|A|Cullman County
AL|01|33064|02805890|Hanover CDP|CENSUS DESIGNATED PLACE|U1|S|Coosa County
AL|01|33256|02406645|Harpersville town|INCORPORATED PLACE|C1|A|Shelby County
AL|01|33424|02403808|Hartford city|INCORPORATED PLACE|C1|A|Geneva County
AL|01|33448|02403812|Hartselle city|INCORPORATED PLACE|C1|A|Morgan County
AL|01|33472|02402570|Harvest CDP|CENSUS DESIGNATED PLACE|U1|S|Madison County
AL|01|33544|02628593|Hatton CDP|CENSUS DESIGNATED PLACE|U1|S|Lawrence County
AL|01|33640|02405806|Hayden town|INCORPORATED PLACE|C1|A|Blount County
AL|01|33712|02405810|Hayneville town|INCORPORATED PLACE|C1|A|Lowndes County
AL|01|33808|02402573|Hazel Green CDP|CENSUS DESIGNATED PLACE|U1|S|Madison County
AL|01|33856|02404672|Headland city|INCORPORATED PLACE|C1|A|Henry County
AL|01|33904|02405811|Heath town|INCORPORATED PLACE|C1|A|Covington County
AL|01|33976|02404675|Heflin city|INCORPORATED PLACE|C1|A|Cleburne County
AL|01|34024|02404677|Helena city|INCORPORATED PLACE|C1|A|Jefferson County~~~Shelby County
AL|01|34096|02404680|Henagar city|INCORPORATED PLACE|C1|A|DeKalb County
AL|01|34480|02405832|Highland Lake town|INCORPORATED PLACE|C1|A|Blount County
AL|01|34490|02582679|Highland Lakes CDP|CENSUS DESIGNATED PLACE|U1|S|Shelby County
AL|01|34816|02405838|Hillsboro town|INCORPORATED PLACE|C1|A|Lawrence County
AL|01|34984|02582680|Hissop CDP|CENSUS DESIGNATED PLACE|U1|S|Coosa County
AL|01|35130|02628594|Hobson CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
AL|01|35152|02405845|Hobson City town|INCORPORATED PLACE|C1|A|Calhoun County
AL|01|35200|02405846|Hodges town|INCORPORATED PLACE|C1|A|Franklin County
AL|01|35392|02404710|Hokes Bluff city|INCORPORATED PLACE|C1|A|Etowah County
AL|01|35512|02582681|Hollins CDP|CENSUS DESIGNATED PLACE|U1|S|Clay County
AL|01|35536|02582682|Hollis Crossroads CDP|CENSUS DESIGNATED PLACE|U1|S|Cleburne County
AL|01|35560|02405852|Holly Pond town|INCORPORATED PLACE|C1|A|Cullman County
AL|01|35632|02405855|Hollywood town|INCORPORATED PLACE|C1|A|Jackson County
AL|01|35704|02402595|Holt CDP|CENSUS DESIGNATED PLACE|U1|S|Tuscaloosa County
AL|01|35752|02582683|Holtville CDP|CENSUS DESIGNATED PLACE|U1|S|Elmore County
AL|01|35800|02404724|Homewood city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|35896|02404725|Hoover city|INCORPORATED PLACE|C1|A|Jefferson County~~~Shelby County
AL|01|36088|02405862|Horn Hill town|INCORPORATED PLACE|C1|A|Covington County
AL|01|36448|02404738|Hueytown city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|36592|02402603|Huguley CDP|CENSUS DESIGNATED PLACE|U1|S|Chambers County
AL|01|37000|02404746|Huntsville city|INCORPORATED PLACE|C1|A|Limestone County~~~Madison County~~~Morgan County
AL|01|37096|02405877|Hurtsboro town|INCORPORATED PLACE|C1|A|Russell County
AL|01|37264|02405879|Hytop town|INCORPORATED PLACE|C1|A|Jackson County
AL|01|37312|02405880|Ider town|INCORPORATED PLACE|C1|A|DeKalb County
AL|01|37465|02404759|Indian Springs Village city|INCORPORATED PLACE|C1|A|Shelby County
AL|01|37864|02404765|Irondale city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|38032|02582684|Ivalee CDP|CENSUS DESIGNATED PLACE|U1|S|Etowah County
AL|01|38152|02404775|Jackson city|INCORPORATED PLACE|C1|A|Clarke County
AL|01|38248|02405902|Jacksons' Gap town|INCORPORATED PLACE|C1|A|Tallapoosa County
AL|01|38272|02404780|Jacksonville city|INCORPORATED PLACE|C1|A|Calhoun County
AL|01|38416|02404790|Jasper city|INCORPORATED PLACE|C1|A|Walker County
AL|01|38608|02404801|Jemison city|INCORPORATED PLACE|C1|A|Chilton County
AL|01|39064|02628595|Joppa CDP|CENSUS DESIGNATED PLACE|U1|S|Cullman County~~~Marshall County
AL|01|39280|02405930|Kansas town|INCORPORATED PLACE|C1|A|Walker County
AL|01|39472|02405933|Kellyton town|INCORPORATED PLACE|C1|A|Coosa County
AL|01|39520|02405936|Kennedy town|INCORPORATED PLACE|C1|A|Lamar County
AL|01|39784|02405945|Killen town|INCORPORATED PLACE|C1|A|Lauderdale County
AL|01|39856|02405948|Kimberly city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|40072|02405953|Kinsey town|INCORPORATED PLACE|C1|A|Houston County
AL|01|40096|02405954|Kinston town|INCORPORATED PLACE|C1|A|Coffee County
AL|01|40648|02403183|Ladonia CDP|CENSUS DESIGNATED PLACE|U1|S|Russell County
AL|01|40672|02404846|La Fayette city|INCORPORATED PLACE|C1|A|Chambers County
AL|01|40888|02405980|Lakeview town|INCORPORATED PLACE|C1|A|DeKalb County
AL|01|40928|02405977|Lake View town|INCORPORATED PLACE|C1|A|Jefferson County~~~Tuscaloosa County
AL|01|41296|02404883|Lanett city|INCORPORATED PLACE|C1|A|Chambers County
AL|01|41368|02405985|Langston town|INCORPORATED PLACE|C1|A|Jackson County
AL|01|41968|02404905|Leeds city|INCORPORATED PLACE|C1|A|Jefferson County~~~St. Clair County~~~Shelby County
AL|01|42016|02405999|Leesburg town|INCORPORATED PLACE|C1|A|Cherokee County
AL|01|42160|02406001|Leighton town|INCORPORATED PLACE|C1|A|Colbert County
AL|01|42304|02628596|Leroy CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
AL|01|42352|02406007|Lester town|INCORPORATED PLACE|C1|A|Limestone County
AL|01|42472|02406009|Level Plains town|INCORPORATED PLACE|C1|A|Dale County
AL|01|42640|02406013|Lexington town|INCORPORATED PLACE|C1|A|Lauderdale County
AL|01|42808|02406018|Libertyville town|INCORPORATED PLACE|C1|A|Covington County
AL|01|42928|02633315|Lillian CDP|CENSUS DESIGNATED PLACE|U1|S|Baldwin County
AL|01|43120|02404929|Lincoln city|INCORPORATED PLACE|C1|A|Talladega County
AL|01|43240|02404934|Linden city|INCORPORATED PLACE|C1|A|Marengo County
AL|01|43264|02404935|Lineville city|INCORPORATED PLACE|C1|A|Clay County
AL|01|43336|02404936|Lipscomb city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|43384|02406024|Lisman town|INCORPORATED PLACE|C1|A|Choctaw County
